chart_id,top1_correct,top1_score,top2_score,margin_abs,margin_norm,top1_prob,n_candidates,q,qp
39810000,0,0.06833863480039899,0.04555317590016815,0.022785458900230843,0.09211514442379067,0.06047186106433798,18,Q4 (high),Q3
39810100,0,0.045085238801739605,0.03971894163808954,0.005366297163650065,0.03794797002642482,0.07435611700605392,14,Q2,Q3
39810300,0,0.04823389648473777,0.04787561365527361,0.0003582828294641585,0.002257878917936985,0.06990041075874778,15,Q1 (low),Q3
39810400,0,0.04011605476000567,0.03895777241839846,0.0011582823416072044,0.004900700918728481,0.02450948163794506,45,Q1 (low),Q1 (low)
39810500,0,0.04459311042578742,0.040818825322741406,0.0037742851030460114,0.03296001769686471,0.08632745085102889,12,Q2,Q4 (high)
39810600,0,0.05813007683902714,0.05658548934119294,0.0015445874978342045,0.007223519335238811,0.05180967500093055,21,Q1 (low),Q2
39810700,0,0.04543839112239423,0.02955675437290619,0.01588163674948804,0.08212952808360591,0.07018908493133574,15,Q4 (high),Q3
39810800,0,0.05188603488412184,0.04517401653129792,0.006712018352823923,0.029447496205560364,0.04844187678177335,22,Q2,Q2
39810900,0,0.031175764998995374,0.027319014371320068,0.0038567506276753066,0.027309511607928657,0.035281043436732266,30,Q2,Q1 (low)
39811000,0,0.021746165377718417,0.013331541386488446,0.008414623991229971,0.04780228914550884,0.046033970392423976,23,Q3,Q2
39811100,0,0.055701919026016414,0.03876915366842637,0.016932765357590043,0.13366245847150066,0.08142632189005256,13,Q4 (high),Q4 (high)
39811200,0,0.03647453713218914,0.01607050393831177,0.020404033193877374,0.07144019354910619,0.019559331116919976,57,Q4 (high),Q1 (low)
39811300,0,0.046222984595618945,0.043844886396441116,0.002378098199177829,0.01733348510980958,0.05305869267174264,20,Q1 (low),Q2
39811400,0,0.035995980234513475,0.0352586223627692,0.000737357871744275,0.012152269824057947,0.0731542435734754,14,Q1 (low),Q3
39811500,0,0.009106181384824923,0.0015129123401881862,0.007593269044636737,0.03660884657018043,0.024071656069086084,45,Q2,Q1 (low)
39811600,0,0.06851008173790793,0.04788483730746992,0.020625244430438013,0.08171125855267129,0.035465211622015276,31,Q4 (high),Q1 (low)
39811700,0,0.021783727720876365,0.02107004218285535,0.0007136855380210153,0.004660031398423406,0.043682349969562696,24,Q1 (low),Q2
39811800,0,0.04859217362227662,0.03740443360256009,0.011187740019716529,0.06364116558632647,0.053361265321531695,20,Q3,Q2
39811900,0,0.05073224373140224,0.050067045308951105,0.0006651984224511354,0.004088071546213769,0.08725620912892262,12,Q1 (low),Q4 (high)
39812000,1,0.050083085782834956,0.03353445147482235,0.016548634308012608,0.07507546947221422,0.05641199093489566,19,Q4 (high),Q2
39812100,1,0.05762129603698694,0.04688989256658087,0.010731403470406069,0.14115632500278608,0.10374165695218229,10,Q3,Q4 (high)
39812200,0,0.03434879992869656,0.029752640569473465,0.004596159359223098,0.09607378818808264,0.11289113553179934,9,Q2,Q4 (high)
39812300,0,0.04980514353381945,0.04799492182700356,0.0018102217068158913,0.01632334044680525,0.0811798611745558,13,Q1 (low),Q3
39812400,1,0.05031762499929937,0.043285049415547464,0.007032575583751907,0.10677909220859154,0.10337543833414434,10,Q2,Q4 (high)
39812500,0,0.05489868850824503,0.04604973047592767,0.008848958032317361,0.10287574733979289,0.10477252573193457,10,Q3,Q4 (high)
39812600,0,0.04140085729066233,0.0356201477342573,0.005780709556405028,0.029526742796877958,0.048567320772373614,22,Q2,Q2
39812700,0,0.05640084372781934,0.04263186734972512,0.013768976378094218,0.161480192143551,0.08798695651623334,12,Q3,Q4 (high)
39812800,1,0.050403667059613924,0.05004565020953585,0.0003580168500780731,0.003129073092831077,0.08054754449170831,13,Q1 (low),Q3
39812900,0,0.03069040846131525,0.029545582043247455,0.0011448264180677938,0.011454253994023176,0.045457981093159655,23,Q1 (low),Q2
39813000,0,0.04981002415764893,0.029471338000010693,0.020338686157638237,0.24391342260007115,0.06567844056385463,16,Q4 (high),Q3
39813100,1,0.0540231462795018,0.03335004104927874,0.02067310523022306,0.09551469277198232,0.03654854923844798,30,Q4 (high),Q1 (low)
39813200,0,0.026277395182744624,0.01595294750473212,0.010324447678012504,0.048658665139023234,0.023434384507852672,47,Q3,Q1 (low)
39813300,0,0.04792455991357377,0.03329417926300961,0.014630380650564163,0.19273592378137303,0.06507042410061659,16,Q4 (high),Q3
39813400,0,0.05538211761804675,0.04388575093900419,0.01149636667904256,0.12389091997377648,0.09481296376716067,11,Q3,Q4 (high)
39813500,0,0.05659847745455034,0.05092927354986221,0.0056692039046881346,0.05586997633251619,0.08685633139006506,12,Q2,Q4 (high)
39813600,0,0.027676343690101624,0.025323319013225525,0.002353024676876099,0.011969638851098544,0.02413731977162252,45,Q1 (low),Q1 (low)
39813700,0,0.04615833275240613,0.02730496969810643,0.018853363054299698,0.11128821924506867,0.033672430073203,32,Q4 (high),Q1 (low)
39813800,0,0.02486269595707685,0.013314092934768202,0.011548603022308647,0.03884329229674349,0.01888334370156116,59,Q3,Q1 (low)
39813900,0,0.047424762998854134,0.027045843369932442,0.02037891962892169,0.11572441666009223,0.03386290290768802,32,Q4 (high),Q1 (low)
39814000,0,0.017466556299032026,0.016896464862732864,0.0005700914362991617,0.002900141408272541,0.023674474976007068,46,Q1 (low),Q1 (low)
39814100,0,0.07163002597613048,0.04017196260644926,0.031458063369681225,0.17331252039714745,0.08965791755239882,12,Q4 (high),Q4 (high)
39814200,0,0.040919002659888265,0.039819018245409135,0.0010999844144791299,0.015449166216503055,0.08656035158036086,12,Q1 (low),Q4 (high)
39814300,0,0.0301923316247615,0.026316913617130476,0.003875418007631023,0.02422659378010554,0.045843636946094925,23,Q2,Q2
39814400,0,0.05860916601673277,0.042937217111382014,0.015671948905350758,0.15487709432405514,0.09493263454275483,11,Q4 (high),Q4 (high)
39814500,0,0.021916315287691772,0.019919540553557224,0.001996774734134548,0.008014309822543614,0.02113101094922266,51,Q1 (low),Q1 (low)
39814600,0,0.062408046252671254,0.04059133064641802,0.021816715606253236,0.0986736689909691,0.06349233636559813,17,Q4 (high),Q3
39814700,0,0.07390141575547106,0.047688714856137605,0.026212700899333453,0.2246205423172887,0.08808175527079638,12,Q4 (high),Q4 (high)
39814800,0,0.04865216435622126,0.044425488618772886,0.004226675737448372,0.019031113294971293,0.04853841889106661,22,Q2,Q2
39814900,0,0.033485582548906635,0.02388625023272452,0.009599332316182114,0.04258443325184636,0.021330342124874554,51,Q3,Q1 (low)
39815000,0,0.06927289104350255,0.049103896113363646,0.020168994930138906,0.08779826722846712,0.035797501773957206,31,Q4 (high),Q1 (low)
39815100,0,0.05439630440082034,0.03297474875963029,0.021421555641190054,0.11799999466417131,0.03994582133590438,27,Q4 (high),Q1 (low)
39815200,1,0.049272916609609675,0.04879077306542835,0.0004821435441813224,0.0034523172719628475,0.09459636237194927,11,Q1 (low),Q4 (high)
39815300,0,0.03625241723577323,0.027949661721950726,0.008302755513822504,0.03243677846342317,0.05065124823272756,21,Q3,Q2
39815400,0,0.041276629135082454,0.023969048367593025,0.01730758076748943,0.06748466649779201,0.03278036295390972,33,Q4 (high),Q1 (low)
39815500,0,0.051856465256206206,0.047481745668247664,0.004374719587958542,0.06808414479682502,0.11446121104809642,9,Q2,Q4 (high)
39815600,0,0.041159280263352596,0.03536214916185491,0.005797131101497689,0.029980554843596484,0.06280923670857724,17,Q2,Q3
39815700,1,0.037960422001295804,0.03678827194243193,0.0011721500588638759,0.017326458100511713,0.08551158746809646,12,Q1 (low),Q4 (high)
39815800,0,0.04705382863089972,0.044641686114461634,0.002412142516438086,0.022338594453096446,0.10420779776847998,10,Q1 (low),Q4 (high)
39815900,0,0.047416263077873694,0.042445166263875705,0.004971096813997988,0.03757285798767498,0.08813579061206073,12,Q2,Q4 (high)
39816000,1,0.03210567644381517,0.006428186596616996,0.025677489847198177,0.12106744205164661,0.031678195351352294,34,Q4 (high),Q1 (low)
39816100,0,0.0389952695590335,0.030040043734781273,0.008955225824252226,0.10462453332406613,0.09384765869228254,11,Q3,Q4 (high)
39816200,0,0.039873361247247885,0.029213583082758576,0.01065977816448931,0.059991878944030186,0.0531702630886383,20,Q3,Q2
