chart_id,parashari,yogini,jaimini,n_correct
39810000,0,0,0,0
39810100,0,0,0,0
39810300,0,0,0,0
39810400,0,0,0,0
39810500,0,0,0,0
39810600,1,0,0,1
39810700,0,1,0,1
39810800,0,0,0,0
39810900,0,0,0,0
39811000,0,0,1,1
39811100,0,0,0,0
39811200,0,1,1,2
39811300,1,0,0,1
39811400,1,1,0,2
39811500,0,0,0,0
39811600,0,0,0,0
39811700,0,0,0,0
39811800,0,0,0,0
39811900,0,0,0,0
39812000,1,0,0,1
39812100,0,0,0,0
39812200,0,0,0,0
39812300,0,0,0,0
39812400,0,0,0,0
39812500,0,0,0,0
39812600,1,0,0,1
39812700,0,0,0,0
39812800,0,0,0,0
39812900,0,0,0,0
39813000,0,0,0,0
39813100,0,0,0,0
39813200,1,0,0,1
39813300,0,0,0,0
39813400,0,0,0,0
39813500,0,0,0,0
39813600,0,0,0,0
39813700,0,1,0,1
39813800,0,0,0,0
39813900,0,0,0,0
39814000,0,0,0,0
39814100,0,0,0,0
39814200,0,0,0,0
39814300,0,0,0,0
39814400,0,0,0,0
39814500,0,0,0,0
39814600,0,0,0,0
39814700,0,0,0,0
39814800,0,0,0,0
39814900,0,0,0,0
39815000,0,1,0,1
39815100,0,0,0,0
39815200,1,0,0,1
39815300,0,0,0,0
39815400,0,0,0,0
39815500,0,0,1,1
39815600,0,0,0,0
39815700,0,1,0,1
39815800,0,0,0,0
39815900,0,0,0,0
39816000,0,0,0,0
39816100,0,0,0,0
39816200,0,1,0,1
39816300,0,0,0,0
39816400,0,0,0,0
39816500,0,0,1,1
39816600,0,1,0,1
39816700,1,0,0,1
39816800,0,0,0,0
39816900,0,0,0,0
39817000,0,0,0,0
39817100,0,0,0,0
39817200,0,0,0,0
39817300,0,0,0,0
39817400,0,0,0,0
39817500,0,0,0,0
39817600,0,0,0,0
39817700,1,0,0,1
39817800,1,0,0,1
39817900,0,0,0,0
39818000,1,0,0,1
39818100,1,0,0,1
39818200,0,0,0,0
39818300,0,0,0,0
39818400,0,0,0,0
39818500,0,0,0,0
39818600,0,0,0,0
39818700,0,0,0,0
39818800,0,0,0,0
39818900,1,0,0,1
39819000,0,0,0,0
39819100,1,0,0,1
39819200,0,1,0,1
39819300,1,0,0,1
39819400,0,0,0,0
39819500,0,0,1,1
39819600,0,0,0,0
39819700,0,0,0,0
39819800,0,0,0,0
39819900,0,0,0,0
39820000,0,0,0,0
39820100,0,0,1,1
39820200,0,1,0,1
39820300,0,0,0,0
39820400,0,0,0,0
39820500,0,0,0,0
39820600,0,0,0,0
39820700,0,0,0,0
39820800,0,0,0,0
39820900,0,0,0,0
39821000,0,0,0,0
39821100,0,0,0,0
39821200,0,0,0,0
39821300,0,0,1,1
39821400,0,1,0,1
39821500,0,0,0,0
39821600,0,1,0,1
39821700,1,1,1,3
39821800,0,0,0,0
39821900,0,0,0,0
39822000,0,0,0,0
39822100,0,0,0,0
39822200,0,0,0,0
39822300,0,0,0,0
39822400,0,0,0,0
39822500,0,0,0,0
39822600,0,0,0,0
39822700,0,0,0,0
39822800,0,0,0,0
39822900,0,0,0,0
39823000,0,0,0,0
39823100,0,0,0,0
39823200,0,0,0,0
39823300,0,0,0,0
39823400,0,0,0,0
39823500,0,0,0,0
39823700,0,0,0,0
39823900,1,0,0,1
39824000,0,0,0,0
39824100,0,0,0,0
39824200,1,0,0,1
39824300,0,0,0,0
39824400,0,1,0,1
39824500,0,0,0,0
39824600,0,0,0,0
39824700,1,0,0,1
39824800,0,0,0,0
39824900,0,0,0,0
39825000,0,0,0,0
39825100,0,0,0,0
39825200,0,0,0,0
39825300,0,0,0,0
39825400,0,0,0,0
39825500,0,0,0,0
39825600,1,0,0,1
39825800,0,0,0,0
39825900,1,0,0,1
39826000,1,1,0,2
39826100,0,1,0,1
39826200,1,0,0,1
39826300,0,0,0,0
39826400,0,0,0,0
39826500,0,1,0,1
39826600,0,0,0,0
39826700,1,0,0,1
39826800,0,0,0,0
39826900,0,0,0,0
39827000,0,0,0,0
39827100,0,0,0,0
39827200,1,1,0,2
39827300,0,0,0,0
39827400,0,0,0,0
39827500,1,1,0,2
39827600,0,0,0,0
39827700,0,0,0,0
39827800,0,0,0,0
39827900,0,0,0,0
39828000,0,0,0,0
39828100,1,0,0,1
39828200,1,0,0,1
39828300,0,0,0,0
39828400,0,0,0,0
39828500,0,0,0,0
39828600,0,0,0,0
39828700,0,0,0,0
39828800,1,0,0,1
39828900,0,0,0,0
39829000,0,0,0,0
39829100,0,1,0,1
39829200,0,0,0,0
39829300,0,0,0,0
39829400,1,0,0,1
39829500,0,0,0,0
39829600,0,0,0,0
39829700,0,1,0,1
39829800,0,0,0,0
39829900,0,0,0,0
39830000,1,0,0,1
39830100,0,0,0,0
39830200,0,0,0,0
39830300,0,0,0,0
39830400,0,0,0,0
39830500,0,1,0,1
39830600,0,0,0,0
39830700,0,1,0,1
39830800,0,0,0,0
39830900,0,0,0,0
39831000,0,0,0,0
39831100,0,0,0,0
39831200,0,0,0,0
39831300,1,0,0,1
39831400,0,0,0,0
39831500,0,0,0,0
39831600,0,0,0,0
39831700,0,0,0,0
39831800,0,0,0,0
39831900,0,0,0,0
39832000,0,0,0,0
39832100,0,0,0,0
39832200,1,0,0,1
39832300,1,0,0,1
39832400,0,0,0,0
39832500,0,1,0,1
39832600,0,0,0,0
39832700,0,0,0,0
39832800,0,0,0,0
39832900,0,0,0,0
39833000,0,0,0,0
39833100,0,1,0,1
39833200,0,0,0,0
39833300,0,1,0,1
39833400,0,0,0,0
39833500,0,0,0,0
39833600,0,0,0,0
39833700,1,0,0,1
39833800,0,0,0,0
39833900,0,0,0,0
39834000,0,0,0,0
39834100,0,0,0,0
39834300,0,0,0,0
39834400,0,0,0,0
39834500,0,0,0,0
39834600,0,0,0,0
39834700,1,0,0,1
39834800,0,0,0,0
39834900,1,0,0,1
39835000,0,0,1,1
39835100,0,0,0,0
39835200,0,0,0,0
39835300,0,0,0,0
39835400,0,0,0,0
39835500,0,0,0,0
39835600,0,1,0,1
39835700,0,0,0,0
39835800,0,0,0,0
39835900,0,1,0,1
39836000,0,0,0,0
39836100,0,0,0,0
39836200,0,0,0,0
39836300,0,0,0,0
39836400,1,0,0,1
39836500,0,0,0,0
39836600,0,1,0,1
39836700,0,0,0,0
39836800,0,0,0,0
39836900,0,0,0,0
39837000,0,0,0,0
39837100,0,0,0,0
39837200,0,0,0,0
39837300,0,0,0,0
39837400,0,0,0,0
39837500,0,0,0,0
39837600,1,1,0,2
39837700,0,1,0,1
39837800,0,0,0,0
39837900,0,1,0,1
39838000,0,0,1,1
39838100,0,1,0,1
39838200,0,0,0,0
39838300,0,0,0,0
39838500,0,0,0,0
39838600,1,0,0,1
39838700,0,0,0,0
39838800,1,0,0,1
39838900,0,0,0,0
39839000,1,0,0,1
39839100,0,0,0,0
39839200,0,1,0,1
39839300,1,0,0,1
39839400,1,0,0,1
39839500,0,0,0,0
39839600,0,0,0,0
39839700,0,0,0,0
39839800,0,0,0,0
39839900,0,0,0,0
39840000,0,0,0,0
39840100,0,0,0,0
39840200,0,0,1,1
39840300,0,0,0,0
39840400,0,0,0,0
39840500,0,0,0,0
39840600,1,0,0,1
39840700,0,0,0,0
39840800,0,0,0,0
39840900,1,0,0,1
39841000,0,0,0,0
39841100,0,0,0,0
39841200,0,0,0,0
39841300,0,0,0,0
39841400,0,0,0,0
39841500,0,0,0,0
39841600,0,0,0,0
39841700,0,0,0,0
39841800,0,0,0,0
39841900,0,0,1,1
39842000,0,0,0,0
39842100,0,0,0,0
39842200,0,0,0,0
39842300,0,0,0,0
39842400,0,1,0,1
39842500,1,0,0,1
39842700,0,0,0,0
39842800,1,0,0,1
39843000,0,0,0,0
39843100,0,0,0,0
39843200,0,0,0,0
39843300,0,0,0,0
39843400,0,0,0,0
39843500,1,1,0,2
39843600,0,0,0,0
39843700,0,1,0,1
39843800,0,1,0,1
39843900,0,1,0,1
39844000,0,0,0,0
39844100,0,0,0,0
39844200,0,0,0,0
39844300,0,0,0,0
39844400,0,0,0,0
39844500,0,0,0,0
39844600,1,0,0,1
39844700,0,0,0,0
39844800,0,0,0,0
39844900,1,1,0,2
39845000,1,0,0,1
39845100,0,0,0,0
39845200,0,0,0,0
39845300,0,0,0,0
39845400,0,0,0,0
39845500,0,0,0,0
39845600,0,1,0,1
39845700,0,0,0,0
39845800,0,0,0,0
39845900,0,0,0,0
39846000,0,0,1,1
39846100,0,0,0,0
39846200,0,0,0,0
39846300,0,1,0,1
39846400,0,0,0,0
39846500,0,1,0,1
39846600,0,0,0,0
39846700,0,0,0,0
39846800,0,0,0,0
39846900,0,0,0,0
39847000,0,0,0,0
39847100,0,0,0,0
39847200,0,0,0,0
39847300,0,0,0,0
39847400,0,1,0,1
39847500,0,1,0,1
39847600,0,0,0,0
39847700,0,0,0,0
39847800,0,0,0,0
39847900,0,0,1,1
39848000,0,0,0,0
39848100,0,0,0,0
39848200,0,0,0,0
39848300,0,0,0,0
39848400,0,0,0,0
39848500,0,0,0,0
39848600,0,0,0,0
39848700,1,0,0,1
39848800,0,0,0,0
39848900,0,0,0,0
39849000,0,0,0,0
39849100,0,0,0,0
39849200,0,0,0,0
39849300,0,0,0,0
39849400,1,0,0,1
39849500,0,1,0,1
39849600,0,1,0,1
39849700,0,0,0,0
39849800,0,0,0,0
39849900,0,0,0,0
39850000,0,0,0,0
39850100,0,0,0,0
39850200,0,0,0,0
39850300,0,1,0,1
39850400,0,0,0,0
39850500,0,0,0,0
39850700,0,0,0,0
39850800,0,0,0,0
39850900,0,0,0,0
39851000,0,0,0,0
39851100,0,1,0,1
39851200,0,0,0,0
39851300,0,0,0,0
39851400,0,0,0,0
39851500,0,0,0,0
39851600,0,0,1,1
39851700,0,0,0,0
39851800,0,1,0,1
39851900,0,0,0,0
39852000,0,0,0,0
39852100,0,0,0,0
39852200,0,0,0,0
39852300,0,0,0,0
39852400,0,0,0,0
39852500,0,0,0,0
39852600,0,0,0,0
39852800,0,0,0,0
39852900,0,0,0,0
39853000,0,1,0,1
39853100,0,0,0,0
39853200,0,0,0,0
39853300,0,0,0,0
39853400,0,0,0,0
39853500,0,0,0,0
39853600,0,1,0,1
39853700,0,0,0,0
39853800,0,0,0,0
39853900,0,0,0,0
39854000,0,0,0,0
39854100,0,0,1,1
39854200,1,0,0,1
39854400,0,0,0,0
39854500,0,0,0,0
39854600,1,0,1,2
39854700,0,0,0,0
39854800,0,0,0,0
39854900,0,0,0,0
39855000,0,0,0,0
39855100,0,0,0,0
39855200,0,0,0,0
39855300,0,0,0,0
39855400,0,0,0,0
39855500,0,1,1,2
39855600,0,0,0,0
39855700,1,0,0,1
39855800,1,0,0,1
39855900,0,0,0,0
39856000,0,0,0,0
39856100,0,0,0,0
39856200,0,0,0,0
39856300,1,0,0,1
39856400,0,0,0,0
39856500,1,1,0,2
39856600,0,0,0,0
39856700,0,0,0,0
